time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
0,0,1,0.0,0.0,0,52.147912,-0.459622,37.8,,5
1,0,1,0.0,0.0,0,52.147923,-0.459614,37.8,,0
2,0,1,1.02,1.02,0,52.147929,-0.459619,37.8,,1
3,0,1,2.4,1.38,0,52.147932,-0.459634,37.8,,1
4,0,1,3.95,1.55,0,52.147931,-0.459655,37.8,,3
5,0,1,5.67,1.72,0,52.147926,-0.459681,37.8,,3
6,0,1,7.59,1.92,0,52.147916,-0.459707,37.8,,2
7,0,1,9.73,2.14,0,52.147902,-0.459732,37.8,,3
8,0,1,11.97,2.24,0,52.147886,-0.459756,37.8,,2
9,0,1,14.26,2.28,1,52.147871,-0.459781,37.9,,3
10,0,1,16.55,2.29,1,52.147858,-0.459807,37.9,,2
11,0,1,18.88,2.33,1,52.147846,-0.459836,37.9,,3
12,0,1,21.31,2.43,1,52.147834,-0.459866,37.9,,3
13,0,1,23.85,2.54,1,52.147822,-0.459898,37.9,,3
14,0,1,26.48,2.64,2,52.147808,-0.459932,37.9,,2
15,0,1,29.14,2.66,2,52.147793,-0.459965,38.0,,3
16,0,1,31.84,2.7,2,52.147778,-0.459998,38.0,,3
17,0,1,34.64,2.8,2,52.147761,-0.460029,38.0,,2
18,0,1,37.5,2.87,2,52.147743,-0.460059,38.0,,3
19,0,1,40.42,2.92,3,52.147725,-0.460086,38.0,,2
20,0,1,43.34,2.91,3,52.147708,-0.460112,38.0,,3
21,0,1,46.18,2.85,3,52.147695,-0.460138,38.0,,2
22,0,1,49.02,2.84,3,52.147687,-0.460167,38.0,,3
23,0,1,51.86,2.84,4,52.147681,-0.460197,37.9,,2
24,0,1,54.7,2.84,4,52.147675,-0.460228,37.9,,3
25,0,1,57.54,2.84,4,52.147668,-0.460261,37.9,,3
26,0,1,60.38,2.84,4,52.14766,-0.460294,37.9,,2
27,0,1,63.22,2.84,5,52.14765,-0.460327,37.9,,3
28,0,1,66.06,2.84,5,52.14764,-0.46036,37.9,,3
29,0,1,68.9,2.84,5,52.147629,-0.460393,37.9,,2
30,0,1,71.73,2.84,5,52.147618,-0.460425,37.9,,3
31,0,1,74.57,2.83,5,52.147608,-0.460456,37.9,,3
32,0,1,77.4,2.83,6,52.147597,-0.460487,37.9,,2
33,0,1,80.23,2.83,6,52.147587,-0.460516,37.9,,3
34,0,1,83.06,2.83,6,52.147576,-0.460545,37.9,,3
35,0,1,85.89,2.83,6,52.147564,-0.460573,37.9,,2
36,0,1,88.72,2.83,7,52.147552,-0.460603,38.0,,3
37,0,1,91.55,2.83,7,52.147539,-0.460635,38.0,,2
38,0,1,94.38,2.83,7,52.147525,-0.460671,38.0,,3
39,0,1,97.2,2.83,7,52.14751,-0.460709,38.0,,3
40,0,1,100.03,2.83,8,52.147495,-0.460747,38.0,,2
41,0,1,102.85,2.83,8,52.14748,-0.460782,38.0,,3
42,0,1,105.68,2.83,8,52.147466,-0.460815,38.0,,3
43,0,1,108.51,2.83,8,52.147451,-0.460848,37.9,,2
44,0,1,111.33,2.83,8,52.147438,-0.460881,37.9,,3
45,0,1,114.16,2.83,9,52.147424,-0.460914,37.9,,3
46,0,1,116.99,2.83,9,52.14741,-0.460949,37.9,,2
47,0,1,119.82,2.83,9,52.147397,-0.460986,37.9,,3
48,0,1,122.65,2.83,9,52.147384,-0.461025,37.9,,3
49,0,1,125.75,2.83,10,52.147372,-0.461064,37.8,,2
50,0,1,128.71,2.83,10,52.147361,-0.461104,37.8,,3
51,0,1,131.91,2.83,10,52.147351,-0.461144,37.8,,3
52,0,1,134.93,2.83,10,52.147341,-0.461184,37.8,,2
53,0,1,137.57,2.83,11,52.147331,-0.461223,37.8,,3
54,0,1,140.13,2.83,11,52.147321,-0.461259,37.8,,3
55,0,1,142.94,2.83,11,52.147309,-0.461295,37.8,,2
56,0,1,146.26,2.83,11,52.147295,-0.461333,37.8,,3
57,0,1,150.13,2.83,12,52.147279,-0.461379,37.7,,3
58,0,1,153.66,2.83,12,52.147263,-0.46143,37.7,,3
59,0,1,153.66,2.83,12,52.147247,-0.461483,37.7,,2
60,0,1,153.66,2.83,12,52.147234,-0.461533,37.7,,3
61,0,1,157.49,2.84,12,52.147224,-0.461582,37.7,,3
62,0,1,157.49,2.84,13,52.147215,-0.461629,37.7,,3
63,0,1,157.49,2.84,13,52.147207,-0.461676,37.7,,3
64,0,1,160.71,2.84,13,52.147201,-0.461722,37.7,,3
65,0,1,170.6,2.85,13,52.147194,-0.461768,37.7,,2
66,0,1,174.06,2.85,14,52.147187,-0.461816,37.7,,4
67,0,1,177.45,2.85,14,52.147179,-0.461865,37.7,,2
68,0,1,180.68,2.86,14,52.14717,-0.461916,37.7,,3
69,0,1,184.66,2.99,14,52.147158,-0.461969,37.7,,3
70,0,1,188.64,3.11,15,52.147146,-0.462022,37.8,,3
71,0,1,191.15,3.23,15,52.147134,-0.462075,37.8,,2
72,0,1,194.68,3.27,15,52.147121,-0.462126,37.8,,3
73,0,1,198.07,3.28,15,52.147108,-0.462174,37.8,,3
74,0,1,202.63,3.28,16,52.147096,-0.462219,37.8,,3
75,0,1,205.82,3.27,16,52.147085,-0.462262,37.9,,3
76,0,1,209.06,3.27,16,52.147074,-0.462305,37.9,,3
77,0,1,213.0,3.26,16,52.147064,-0.462348,37.9,,2
78,0,1,216.24,3.25,17,52.147055,-0.462393,37.9,,3
79,0,1,219.75,3.29,17,52.147048,-0.462442,38.0,,3
80,0,1,222.85,3.29,17,52.147041,-0.462493,38.0,,3
81,0,1,226.47,3.33,17,52.147035,-0.462546,38.0,,2
82,0,1,230.17,3.38,18,52.14703,-0.462599,38.0,,3
83,0,1,233.22,3.36,18,52.147025,-0.462653,38.0,,3
84,0,1,236.52,3.35,18,52.147021,-0.462705,38.0,,3
85,0,1,239.71,3.33,18,52.147018,-0.462755,38.0,,2
86,0,1,243.93,3.3,19,52.147015,-0.462803,38.0,,3
87,0,1,247.26,3.3,19,52.147012,-0.462851,38.0,,3
88,0,1,250.15,3.24,19,52.14701,-0.462898,38.0,,2
89,0,1,254.13,3.19,19,52.147009,-0.462947,38.0,,3
90,0,1,257.49,3.19,20,52.147007,-0.462996,38.0,,3
91,0,1,260.7,3.19,20,52.147006,-0.463047,38.0,,2
92,0,1,264.23,3.19,20,52.147005,-0.4631,38.0,,3
93,0,1,267.89,3.19,21,52.147002,-0.463154,38.0,,3
94,0,1,271.62,3.19,21,52.146998,-0.463211,38.0,,2
95,0,1,274.8,3.19,21,52.146993,-0.46327,38.0,,4
96,0,1,278.91,3.19,21,52.146986,-0.463332,38.0,,2
97,0,1,283.03,3.2,22,52.146977,-0.463394,38.0,,3
98,0,1,286.73,3.2,22,52.146967,-0.463455,38.0,,3
99,0,1,290.15,3.2,22,52.146958,-0.463513,38.0,,2
100,0,1,293.99,3.2,22,52.146948,-0.463569,38.0,,3
101,0,1,299.32,3.2,23,52.14694,-0.463626,38.0,,3
102,0,1,302.94,3.21,23,52.146932,-0.463684,38.0,,2
103,0,1,306.48,3.21,23,52.146923,-0.463742,38.0,,3
104,0,1,311.26,3.21,23,52.146912,-0.463797,37.9,,3
105,0,1,314.88,3.22,24,52.146897,-0.463847,37.9,,3
106,0,1,318.75,3.22,24,52.146877,-0.463893,37.8,,2
107,0,1,322.34,3.22,24,52.146853,-0.463937,37.8,,3
108,0,1,326.23,3.22,24,52.146824,-0.463979,37.7,,3
109,0,1,330.2,3.23,25,52.146795,-0.464017,37.6,,3
110,0,1,334.58,3.23,25,52.146766,-0.464047,37.4,,2
111,0,1,337.59,3.24,25,52.14674,-0.464069,37.4,,3
112,0,1,340.54,3.24,25,52.146717,-0.46409,37.3,,2
113,0,1,346.77,3.24,26,52.146697,-0.464116,37.2,,3
114,0,1,355.33,3.24,26,52.14668,-0.464151,37.1,,3
115,0,1,358.64,3.25,26,52.146667,-0.464195,37.0,,3
116,0,1,362.09,3.25,27,52.146661,-0.464249,37.0,,2
117,0,1,362.09,3.25,27,52.146658,-0.464308,37.0,,3
118,0,1,362.09,3.25,27,52.146654,-0.464368,37.0,,3
119,0,1,365.89,3.26,27,52.146648,-0.464424,37.0,,2
120,0,1,370.88,3.26,28,52.146638,-0.464476,37.0,,4
121,0,1,373.79,3.26,28,52.146627,-0.464524,37.0,,2
122,0,1,376.76,3.26,28,52.146615,-0.464569,37.1,,3
123,0,1,381.86,3.26,28,52.146602,-0.464611,37.1,,2
124,0,1,384.8,3.27,29,52.14659,-0.46465,37.1,,3
125,0,1,387.59,3.27,29,52.146578,-0.464687,37.1,,3
126,0,1,391.31,3.27,29,52.146563,-0.464721,37.1,,3
127,0,1,393.99,3.27,29,52.146546,-0.464754,37.1,,2
128,0,1,397.22,3.27,30,52.146527,-0.464785,37.2,,3
129,0,1,399.84,3.27,30,52.146506,-0.464817,37.2,,3
130,0,1,402.95,3.27,30,52.146483,-0.464852,37.2,,3
131,0,1,406.14,3.27,30,52.146459,-0.464887,37.2,,3
132,0,1,409.56,3.27,31,52.146434,-0.464923,37.3,,2
133,0,1,413.16,3.27,31,52.146409,-0.464958,37.3,,3
134,0,1,416.83,3.28,31,52.146384,-0.46499,37.3,,3
135,0,1,419.9,3.28,31,52.146359,-0.46502,37.4,,2
136,0,1,422.53,3.28,32,52.146336,-0.465048,37.5,,3
137,0,1,425.18,3.28,32,52.146312,-0.465074,37.5,,3
138,0,1,430.47,3.28,32,52.146288,-0.465101,37.6,,3
139,0,1,433.86,3.28,32,52.146265,-0.465129,37.6,,3
140,0,1,436.66,3.28,33,52.146241,-0.46516,37.7,,2
141,0,1,440.28,3.28,33,52.146216,-0.465194,37.8,,4
142,0,1,443.35,3.28,33,52.146189,-0.46523,37.8,,2
143,0,1,447.24,3.28,34,52.146157,-0.465267,37.9,,3
144,0,1,450.9,3.29,34,52.14612,-0.465304,37.9,,3
145,0,1,454.52,3.29,34,52.146083,-0.465337,37.9,,3
146,0,1,457.96,3.29,34,52.146052,-0.465366,38.0,,2
147,0,1,463.46,3.3,35,52.146025,-0.465392,38.0,,3
148,0,1,466.64,3.3,35,52.145999,-0.46542,38.0,,3
149,0,1,470.23,3.3,35,52.145972,-0.465452,38.0,,3
150,0,1,475.35,3.31,35,52.145944,-0.46549,38.0,,2
151,0,1,479.15,3.31,36,52.145916,-0.465533,38.0,,3
152,0,1,483.37,3.31,36,52.145888,-0.465582,38.0,,3
153,0,1,487.14,3.32,36,52.145861,-0.465633,38.0,,3
154,0,1,491.86,3.32,36,52.145834,-0.465683,38.0,,3
155,0,1,496.24,3.33,37,52.145806,-0.465729,38.0,,2
156,0,1,500.23,3.58,37,52.145777,-0.46577,37.9,,3
157,0,1,504.2,3.65,37,52.145749,-0.465809,37.9,,3
158,0,1,507.94,3.67,37,52.145721,-0.465847,37.9,,2
159,0,1,513.86,3.66,38,52.145696,-0.465888,37.8,,3
160,0,1,517.51,3.66,38,52.145674,-0.465935,37.8,,3
161,0,1,521.68,3.74,38,52.145654,-0.465985,37.8,,3
162,0,1,525.75,3.82,39,52.145636,-0.466038,37.8,,3
163,0,1,529.67,3.84,39,52.145618,-0.466092,37.8,,2
164,0,1,534.0,3.92,39,52.1456,-0.466146,37.8,,3
165,0,1,538.16,3.98,39,52.145582,-0.466201,37.8,,3
166,0,1,542.08,3.97,40,52.145563,-0.466256,37.8,,3
167,0,1,546.62,4.04,40,52.145543,-0.466312,37.9,,3
168,0,1,551.19,4.04,40,52.145523,-0.466368,37.9,,2
169,0,1,555.09,4.02,41,52.145503,-0.466424,37.9,,3
170,0,1,559.36,4.06,41,52.145482,-0.46648,37.9,,3
171,0,1,563.71,4.06,41,52.145462,-0.466535,37.9,,2
172,0,1,568.06,4.1,42,52.145442,-0.46659,38.0,,3
